Gene,Non-unique Gene name,Annotation,GCA_053309155.1,GCA_053309175.1,GCA_053309195.1,GCA_053309215.1,GCA_054952405.1,GCA_054952445.1,GCA_054952645.1,GCA_055485485.1,GCA_055485515.1,GCA_055721525.1,GCA_055721545.1,GCA_055721565.1,GCA_055721585.1,GCA_055721605.1,GCA_055721625.1,GCA_055721645.1,GCA_055721665.1,GCA_055721685.1,GCA_055721705.1,GCA_060056565.1,GCA_060056645.1
mtnA,mtnA,Methylthioribose-1-phosphate isomerase,PGEOLOLO_01204,MKEIHBDH_01835,AEDCGGIJ_01377,FPEEIIMM_01437,DEGACDFD_01296,MHALECEH_03256,OGHMHICF_02621,JLBILKMH_03889,MCHNEBJF_03892,HOLFJHIJ_03410,ALMEEEHM_03495,BFKKNDMN_04284,BOEGCKIF_03286,AONLONOO_02464,KAONMONA_02911,JBBCKIFO_01709,PCAPKKMB_01405,PJHHOHPP_03410,EGDJDACD_04598,DOCONFGL_05076,PNJFOIHC_01402
rsmC,rsmC,Ribosomal RNA small subunit methyltransferase C,PGEOLOLO_00554,MKEIHBDH_02594,AEDCGGIJ_00636,FPEEIIMM_00693,DEGACDFD_00602,MHALECEH_02501,OGHMHICF_01942,JLBILKMH_04576,MCHNEBJF_04581,HOLFJHIJ_02650,ALMEEEHM_04150,BFKKNDMN_04933,BOEGCKIF_02633,AONLONOO_03118,KAONMONA_02152,JBBCKIFO_02392,PCAPKKMB_00717,PJHHOHPP_02667,EGDJDACD_00241,DOCONFGL_00563,PNJFOIHC_00715
epmB,epmB,L-lysine 23-aminomutase,PGEOLOLO_00277,MKEIHBDH_02903,AEDCGGIJ_00340,FPEEIIMM_00376,DEGACDFD_00276,MHALECEH_02215,OGHMHICF_01630,JLBILKMH_04859,MCHNEBJF_04864,HOLFJHIJ_02378,ALMEEEHM_04436,BFKKNDMN_00194,BOEGCKIF_02356,AONLONOO_03400,KAONMONA_01844,JBBCKIFO_02676,PCAPKKMB_00389,PJHHOHPP_02369,EGDJDACD_00553,DOCONFGL_00843,PNJFOIHC_00432
murB,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,PGEOLOLO_00094,MKEIHBDH_03092,AEDCGGIJ_00094,FPEEIIMM_00184,DEGACDFD_00094,MHALECEH_02031,OGHMHICF_01444,JLBILKMH_05054,MCHNEBJF_05059,HOLFJHIJ_02193,ALMEEEHM_04621,BFKKNDMN_00378,BOEGCKIF_02172,AONLONOO_03586,KAONMONA_01649,JBBCKIFO_02865,PCAPKKMB_00193,PJHHOHPP_02123,EGDJDACD_00742,DOCONFGL_01038,PNJFOIHC_00238
hemS,hemS,Hemin transport protein HemS,PGEOLOLO_03838,MKEIHBDH_04381,AEDCGGIJ_04128,FPEEIIMM_03924,DEGACDFD_03921,MHALECEH_00736,OGHMHICF_00171,JLBILKMH_01097,MCHNEBJF_01097,HOLFJHIJ_00943,ALMEEEHM_00767,BFKKNDMN_01647,BOEGCKIF_00895,AONLONOO_04850,KAONMONA_00349,JBBCKIFO_04168,PCAPKKMB_04004,PJHHOHPP_00903,EGDJDACD_02039,DOCONFGL_02366,PNJFOIHC_04123
xecA1,xecA1,2-hydroxypropyl-CoM lyase,PGEOLOLO_02766,MKEIHBDH_00288,AEDCGGIJ_02927,FPEEIIMM_02942,DEGACDFD_02850,MHALECEH_04895,OGHMHICF_04238,JLBILKMH_02118,MCHNEBJF_02118,HOLFJHIJ_05037,ALMEEEHM_01928,BFKKNDMN_02723,BOEGCKIF_04855,AONLONOO_00963,KAONMONA_04465,JBBCKIFO_00122,PCAPKKMB_02990,PJHHOHPP_04964,EGDJDACD_03020,DOCONFGL_03432,PNJFOIHC_03064
rbsC_3,rbsC_3,Ribose import permease protein RbsC,PGEOLOLO_01080,MKEIHBDH_01961,AEDCGGIJ_01252,FPEEIIMM_01302,DEGACDFD_01165,MHALECEH_03133,OGHMHICF_02496,JLBILKMH_04019,MCHNEBJF_04022,HOLFJHIJ_03271,ALMEEEHM_03618,BFKKNDMN_04407,BOEGCKIF_03162,AONLONOO_02589,KAONMONA_02782,JBBCKIFO_01834,PCAPKKMB_01277,PJHHOHPP_03283,EGDJDACD_04728,DOCONFGL_00010,PNJFOIHC_01270
iolU_1,iolU_1,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,PGEOLOLO_01075,MKEIHBDH_01966,AEDCGGIJ_01247,FPEEIIMM_01297,DEGACDFD_01160,MHALECEH_03127,OGHMHICF_02491,JLBILKMH_04024,MCHNEBJF_04027,HOLFJHIJ_03266,ALMEEEHM_03623,BFKKNDMN_04412,BOEGCKIF_03157,AONLONOO_02594,KAONMONA_02777,JBBCKIFO_01839,PCAPKKMB_01272,PJHHOHPP_03278,EGDJDACD_04733,DOCONFGL_00015,PNJFOIHC_01265
metN_1,metN_1,Methionine import ATP-binding protein MetN,PGEOLOLO_00786,MKEIHBDH_02350,AEDCGGIJ_00867,FPEEIIMM_00936,DEGACDFD_00836,MHALECEH_02735,OGHMHICF_02190,JLBILKMH_04327,MCHNEBJF_04332,HOLFJHIJ_02895,ALMEEEHM_03915,BFKKNDMN_04701,BOEGCKIF_02865,AONLONOO_02885,KAONMONA_02394,JBBCKIFO_02157,PCAPKKMB_00963,PJHHOHPP_02898,EGDJDACD_00007,DOCONFGL_00317,PNJFOIHC_00962
rhaT,rhaT,L-rhamnose-proton symporter,PGEOLOLO_04968,MKEIHBDH_03226,AEDCGGIJ_05216,FPEEIIMM_00050,DEGACDFD_05025,MHALECEH_01897,OGHMHICF_01311,JLBILKMH_05188,MCHNEBJF_05193,HOLFJHIJ_02054,ALMEEEHM_04756,BFKKNDMN_00512,BOEGCKIF_02037,AONLONOO_03720,KAONMONA_01514,JBBCKIFO_03002,PCAPKKMB_00058,PJHHOHPP_01989,EGDJDACD_00877,DOCONFGL_01172,PNJFOIHC_00104
bamC,bamC,Outer membrane protein assembly factor BamC,PGEOLOLO_03494,MKEIHBDH_04640,AEDCGGIJ_03729,FPEEIIMM_03663,DEGACDFD_03639,MHALECEH_00414,OGHMHICF_04915,JLBILKMH_01430,MCHNEBJF_01430,HOLFJHIJ_00678,ALMEEEHM_01052,BFKKNDMN_01993,BOEGCKIF_00547,AONLONOO_00189,KAONMONA_00084,JBBCKIFO_04431,PCAPKKMB_03751,PJHHOHPP_00504,EGDJDACD_02303,DOCONFGL_02758,PNJFOIHC_03763
tqsA,tqsA,AI-2 transport protein TqsA,PGEOLOLO_02133,MKEIHBDH_00893,AEDCGGIJ_02317,FPEEIIMM_02351,DEGACDFD_02243,MHALECEH_04245,OGHMHICF_03600,JLBILKMH_02738,MCHNEBJF_02740,HOLFJHIJ_04431,ALMEEEHM_02155,BFKKNDMN_03359,BOEGCKIF_04220,AONLONOO_01540,KAONMONA_03856,JBBCKIFO_00771,PCAPKKMB_02393,PJHHOHPP_04353,EGDJDACD_03661,DOCONFGL_04055,PNJFOIHC_02437
group_679,,2-haloacrylate reductase,PGEOLOLO_02004,MKEIHBDH_01023,AEDCGGIJ_02187,FPEEIIMM_02223,DEGACDFD_02115,MHALECEH_04062,OGHMHICF_03464,JLBILKMH_02866,MCHNEBJF_02868,HOLFJHIJ_04294,ALMEEEHM_02026,BFKKNDMN_03488,BOEGCKIF_04089,AONLONOO_01669,KAONMONA_03725,JBBCKIFO_00902,PCAPKKMB_02250,PJHHOHPP_04221,EGDJDACD_03791,DOCONFGL_04183,PNJFOIHC_02309
astA_1,astA_1,Arginine N-succinyltransferase,PGEOLOLO_01852,MKEIHBDH_01178,AEDCGGIJ_02041,FPEEIIMM_02090,DEGACDFD_01950,MHALECEH_03904,OGHMHICF_03241,JLBILKMH_03102,MCHNEBJF_03105,HOLFJHIJ_04051,ALMEEEHM_02847,BFKKNDMN_03640,BOEGCKIF_03937,AONLONOO_01820,KAONMONA_03574,JBBCKIFO_01057,PCAPKKMB_02046,PJHHOHPP_04072,EGDJDACD_03941,DOCONFGL_04416,PNJFOIHC_02067
holA,holA,DNA polymerase III subunit delta,PGEOLOLO_01251,MKEIHBDH_01788,AEDCGGIJ_01425,FPEEIIMM_01484,DEGACDFD_01343,MHALECEH_03304,OGHMHICF_02668,JLBILKMH_03842,MCHNEBJF_03845,HOLFJHIJ_03459,ALMEEEHM_03448,BFKKNDMN_04237,BOEGCKIF_03334,AONLONOO_02417,KAONMONA_02959,JBBCKIFO_01661,PCAPKKMB_01452,PJHHOHPP_03458,EGDJDACD_04551,DOCONFGL_05029,PNJFOIHC_01449
group_677,,hypothetical protein,PGEOLOLO_01077,MKEIHBDH_01964,AEDCGGIJ_01249,FPEEIIMM_01299,DEGACDFD_01162,MHALECEH_03129,OGHMHICF_02493,JLBILKMH_04022,MCHNEBJF_04025,HOLFJHIJ_03268,ALMEEEHM_03621,BFKKNDMN_04410,BOEGCKIF_03159,AONLONOO_02592,KAONMONA_02779,JBBCKIFO_01837,PCAPKKMB_01274,PJHHOHPP_03280,EGDJDACD_04731,DOCONFGL_00013,PNJFOIHC_01267
yhhX,yhhX,putative oxidoreductase YhhX,PGEOLOLO_04539,MKEIHBDH_03634,AEDCGGIJ_04808,FPEEIIMM_04628,DEGACDFD_04615,MHALECEH_01491,OGHMHICF_00902,JLBILKMH_00313,MCHNEBJF_00313,HOLFJHIJ_01651,ALMEEEHM_00061,BFKKNDMN_00943,BOEGCKIF_01606,AONLONOO_04156,KAONMONA_01102,JBBCKIFO_03413,PCAPKKMB_04747,PJHHOHPP_01581,EGDJDACD_01299,DOCONFGL_01585,PNJFOIHC_04905
purM,purM,Phosphoribosylformylglycinamidine cyclo-ligase,PGEOLOLO_03507,MKEIHBDH_04626,AEDCGGIJ_03742,FPEEIIMM_03676,DEGACDFD_03652,MHALECEH_00427,OGHMHICF_04928,JLBILKMH_01417,MCHNEBJF_01417,HOLFJHIJ_00691,ALMEEEHM_01038,BFKKNDMN_01979,BOEGCKIF_00560,AONLONOO_00176,KAONMONA_00098,JBBCKIFO_04417,PCAPKKMB_03764,PJHHOHPP_00517,EGDJDACD_02290,DOCONFGL_02745,PNJFOIHC_03776
hmuU_2,hmuU_2,Hemin transport system permease protein HmuU,PGEOLOLO_02763,MKEIHBDH_00291,AEDCGGIJ_02924,FPEEIIMM_02939,DEGACDFD_02847,MHALECEH_04892,OGHMHICF_04235,JLBILKMH_02121,MCHNEBJF_02121,HOLFJHIJ_05034,ALMEEEHM_01931,BFKKNDMN_02726,BOEGCKIF_04852,AONLONOO_00966,KAONMONA_04462,JBBCKIFO_00125,PCAPKKMB_02987,PJHHOHPP_04961,EGDJDACD_03023,DOCONFGL_03435,PNJFOIHC_03061
group_674,,hypothetical protein,PGEOLOLO_02719,MKEIHBDH_00335,AEDCGGIJ_02880,FPEEIIMM_02895,DEGACDFD_02803,MHALECEH_04848,OGHMHICF_04193,JLBILKMH_02165,MCHNEBJF_02165,HOLFJHIJ_04992,ALMEEEHM_01975,BFKKNDMN_02770,BOEGCKIF_04807,AONLONOO_01010,KAONMONA_04416,JBBCKIFO_00169,PCAPKKMB_02944,PJHHOHPP_04917,EGDJDACD_03067,DOCONFGL_03479,PNJFOIHC_03015
ndmA,ndmA,Methylxanthine N1-demethylase NdmA,PGEOLOLO_02243,MKEIHBDH_00784,AEDCGGIJ_02426,FPEEIIMM_02458,DEGACDFD_02353,MHALECEH_04669,OGHMHICF_03707,JLBILKMH_02624,MCHNEBJF_02626,HOLFJHIJ_04536,ALMEEEHM_02263,BFKKNDMN_03249,BOEGCKIF_04330,AONLONOO_01429,KAONMONA_03969,JBBCKIFO_00660,PCAPKKMB_02500,PJHHOHPP_04462,EGDJDACD_03549,DOCONFGL_03942,PNJFOIHC_02554
pstS,pstS,Phosphate-binding protein PstS,PGEOLOLO_04878,MKEIHBDH_03311,AEDCGGIJ_05131,FPEEIIMM_04970,DEGACDFD_04941,MHALECEH_01819,OGHMHICF_01221,JLBILKMH_05272,MCHNEBJF_05277,HOLFJHIJ_01977,ALMEEEHM_04852,BFKKNDMN_00604,BOEGCKIF_01947,AONLONOO_03814,KAONMONA_01429,JBBCKIFO_03080,PCAPKKMB_05087,PJHHOHPP_01904,EGDJDACD_00963,DOCONFGL_01256,PNJFOIHC_00019
tas,tas,Protein tas,PGEOLOLO_03994,MKEIHBDH_04210,AEDCGGIJ_04271,FPEEIIMM_04081,DEGACDFD_04063,MHALECEH_00895,OGHMHICF_00328,JLBILKMH_00954,MCHNEBJF_00954,HOLFJHIJ_01086,ALMEEEHM_00609,BFKKNDMN_01491,BOEGCKIF_01052,AONLONOO_04693,KAONMONA_00520,JBBCKIFO_04009,PCAPKKMB_04158,PJHHOHPP_01048,EGDJDACD_01866,DOCONFGL_02221,PNJFOIHC_04266
group_670,,hypothetical protein,PGEOLOLO_02380,MKEIHBDH_00655,AEDCGGIJ_02541,FPEEIIMM_02588,DEGACDFD_02479,MHALECEH_04527,OGHMHICF_03846,JLBILKMH_02490,MCHNEBJF_02490,HOLFJHIJ_04676,ALMEEEHM_02402,BFKKNDMN_03112,BOEGCKIF_04468,AONLONOO_01292,KAONMONA_04098,JBBCKIFO_00516,PCAPKKMB_02625,PJHHOHPP_04577,EGDJDACD_03391,DOCONFGL_03805,PNJFOIHC_02691
bioB,bioB,Biotin synthase,PGEOLOLO_01377,MKEIHBDH_01651,AEDCGGIJ_01585,FPEEIIMM_01610,DEGACDFD_01468,MHALECEH_03432,OGHMHICF_02796,JLBILKMH_03723,MCHNEBJF_03726,HOLFJHIJ_03585,ALMEEEHM_03321,BFKKNDMN_04112,BOEGCKIF_03460,AONLONOO_02292,KAONMONA_03097,JBBCKIFO_01537,PCAPKKMB_01578,PJHHOHPP_03615,EGDJDACD_04410,DOCONFGL_04910,PNJFOIHC_01566
rbsR_2,rbsR_2,Ribose operon repressor,PGEOLOLO_01208,MKEIHBDH_01831,AEDCGGIJ_01381,FPEEIIMM_01441,DEGACDFD_01300,MHALECEH_03260,OGHMHICF_02625,JLBILKMH_03885,MCHNEBJF_03888,HOLFJHIJ_03414,ALMEEEHM_03491,BFKKNDMN_04280,BOEGCKIF_03290,AONLONOO_02460,KAONMONA_02915,JBBCKIFO_01705,PCAPKKMB_01409,PJHHOHPP_03414,EGDJDACD_04594,DOCONFGL_05072,PNJFOIHC_01406
tdh,tdh,L-threonine 3-dehydrogenase,PGEOLOLO_04711,MKEIHBDH_03479,AEDCGGIJ_04962,FPEEIIMM_04790,DEGACDFD_04771,MHALECEH_01649,OGHMHICF_01049,JLBILKMH_00153,MCHNEBJF_00153,HOLFJHIJ_01807,ALMEEEHM_05022,BFKKNDMN_00770,BOEGCKIF_01780,AONLONOO_03982,KAONMONA_01259,JBBCKIFO_03252,PCAPKKMB_04904,PJHHOHPP_01736,EGDJDACD_01137,DOCONFGL_01425,PNJFOIHC_05063
mreB,mreB,Cell shape-determining protein MreB,PGEOLOLO_04395,MKEIHBDH_03805,AEDCGGIJ_04663,FPEEIIMM_04481,DEGACDFD_04469,MHALECEH_01346,OGHMHICF_00755,JLBILKMH_00482,MCHNEBJF_00482,HOLFJHIJ_01481,ALMEEEHM_00206,BFKKNDMN_01088,BOEGCKIF_01459,AONLONOO_04301,KAONMONA_00932,JBBCKIFO_03560,PCAPKKMB_04601,PJHHOHPP_01438,EGDJDACD_01444,DOCONFGL_01754,PNJFOIHC_04736
selD,selD,Selenide water dikinase,PGEOLOLO_01837,MKEIHBDH_01193,AEDCGGIJ_02026,FPEEIIMM_02075,DEGACDFD_01935,MHALECEH_03889,OGHMHICF_03226,JLBILKMH_03117,MCHNEBJF_03120,HOLFJHIJ_04036,ALMEEEHM_02862,BFKKNDMN_03655,BOEGCKIF_03921,AONLONOO_01835,KAONMONA_03559,JBBCKIFO_01072,PCAPKKMB_02031,PJHHOHPP_04057,EGDJDACD_03956,DOCONFGL_04431,PNJFOIHC_02052
nadA,nadA,Quinolinate synthase,PGEOLOLO_01335,MKEIHBDH_01704,AEDCGGIJ_01509,FPEEIIMM_01568,DEGACDFD_01427,MHALECEH_03390,OGHMHICF_02752,JLBILKMH_03760,MCHNEBJF_03763,HOLFJHIJ_03544,ALMEEEHM_03364,BFKKNDMN_04153,BOEGCKIF_03419,AONLONOO_02333,KAONMONA_03044,JBBCKIFO_01578,PCAPKKMB_01536,PJHHOHPP_03541,EGDJDACD_04465,DOCONFGL_04947,PNJFOIHC_01529
group_663,,hypothetical protein,PGEOLOLO_03482,MKEIHBDH_04652,AEDCGGIJ_03717,FPEEIIMM_03651,DEGACDFD_03627,MHALECEH_00402,OGHMHICF_04903,JLBILKMH_01441,MCHNEBJF_01441,HOLFJHIJ_00667,ALMEEEHM_01063,BFKKNDMN_02004,BOEGCKIF_00536,AONLONOO_00200,KAONMONA_00073,JBBCKIFO_04442,PCAPKKMB_03740,PJHHOHPP_00492,EGDJDACD_02314,DOCONFGL_02769,PNJFOIHC_03752
group_662,,hypothetical protein,PGEOLOLO_02867,MKEIHBDH_00191,AEDCGGIJ_03025,FPEEIIMM_03038,DEGACDFD_02948,MHALECEH_04993,OGHMHICF_04338,JLBILKMH_02021,MCHNEBJF_02021,HOLFJHIJ_05135,ALMEEEHM_01828,BFKKNDMN_02624,BOEGCKIF_04956,AONLONOO_00865,KAONMONA_04562,JBBCKIFO_00024,PCAPKKMB_03087,PJHHOHPP_05061,EGDJDACD_02921,DOCONFGL_03336,PNJFOIHC_03163
group_661,,hypothetical protein,PGEOLOLO_02858,MKEIHBDH_00200,AEDCGGIJ_03016,FPEEIIMM_03029,DEGACDFD_02939,MHALECEH_04984,OGHMHICF_04329,JLBILKMH_02030,MCHNEBJF_02030,HOLFJHIJ_05126,ALMEEEHM_01837,BFKKNDMN_02633,BOEGCKIF_04947,AONLONOO_00874,KAONMONA_04553,JBBCKIFO_00033,PCAPKKMB_03078,PJHHOHPP_05052,EGDJDACD_02931,DOCONFGL_03345,PNJFOIHC_03154
aroH,aroH,Phospho-2-dehydro-3-deoxyheptonate aldolase Trp-sensitive,PGEOLOLO_02776,MKEIHBDH_00279,AEDCGGIJ_02937,FPEEIIMM_02951,DEGACDFD_02860,MHALECEH_04905,OGHMHICF_04249,JLBILKMH_02108,MCHNEBJF_02108,HOLFJHIJ_05047,ALMEEEHM_01918,BFKKNDMN_02713,BOEGCKIF_04865,AONLONOO_00953,KAONMONA_04474,JBBCKIFO_00112,PCAPKKMB_03000,PJHHOHPP_04974,EGDJDACD_03010,DOCONFGL_03422,PNJFOIHC_03074
potD,potD,Spermidine/putrescine-binding periplasmic protein,PGEOLOLO_01722,MKEIHBDH_01271,AEDCGGIJ_01951,FPEEIIMM_01953,DEGACDFD_01809,MHALECEH_03774,OGHMHICF_03151,JLBILKMH_03304,MCHNEBJF_03307,HOLFJHIJ_03912,ALMEEEHM_02977,BFKKNDMN_03769,BOEGCKIF_03807,AONLONOO_01949,KAONMONA_03479,JBBCKIFO_01191,PCAPKKMB_01905,PJHHOHPP_03982,EGDJDACD_04078,DOCONFGL_04549,PNJFOIHC_01916
pyrC,pyrC,Dihydroorotase,PGEOLOLO_01666,MKEIHBDH_01327,AEDCGGIJ_01904,FPEEIIMM_01897,DEGACDFD_01753,MHALECEH_03718,OGHMHICF_03104,JLBILKMH_03351,MCHNEBJF_03354,HOLFJHIJ_03856,ALMEEEHM_03033,BFKKNDMN_03825,BOEGCKIF_03751,AONLONOO_02005,KAONMONA_03423,JBBCKIFO_01247,PCAPKKMB_01849,PJHHOHPP_03935,EGDJDACD_04136,DOCONFGL_04596,PNJFOIHC_01869
galT,galT,Galactose-1-phosphate uridylyltransferase,PGEOLOLO_01343,MKEIHBDH_01687,AEDCGGIJ_01517,FPEEIIMM_01576,DEGACDFD_01435,MHALECEH_03398,OGHMHICF_02760,JLBILKMH_03752,MCHNEBJF_03755,HOLFJHIJ_03552,ALMEEEHM_03356,BFKKNDMN_04145,BOEGCKIF_03427,AONLONOO_02325,KAONMONA_03061,JBBCKIFO_01570,PCAPKKMB_01544,PJHHOHPP_03549,EGDJDACD_04448,DOCONFGL_04939,PNJFOIHC_01537
ybeZ,ybeZ,PhoH-like protein,PGEOLOLO_01264,MKEIHBDH_01775,AEDCGGIJ_01439,FPEEIIMM_01497,DEGACDFD_01356,MHALECEH_03317,OGHMHICF_02681,JLBILKMH_03829,MCHNEBJF_03832,HOLFJHIJ_03472,ALMEEEHM_03435,BFKKNDMN_04224,BOEGCKIF_03347,AONLONOO_02404,KAONMONA_02972,JBBCKIFO_01648,PCAPKKMB_01465,PJHHOHPP_03472,EGDJDACD_04537,DOCONFGL_05016,PNJFOIHC_01462
murG,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,PGEOLOLO_00667,MKEIHBDH_02471,AEDCGGIJ_00748,FPEEIIMM_00816,DEGACDFD_00714,MHALECEH_02614,OGHMHICF_02068,JLBILKMH_04453,MCHNEBJF_04458,HOLFJHIJ_02773,ALMEEEHM_04035,BFKKNDMN_04820,BOEGCKIF_02746,AONLONOO_03004,KAONMONA_02275,JBBCKIFO_02277,PCAPKKMB_00841,PJHHOHPP_02779,EGDJDACD_00127,DOCONFGL_00440,PNJFOIHC_00838
group_660,,hypothetical protein,PGEOLOLO_00549,MKEIHBDH_02599,AEDCGGIJ_00632,FPEEIIMM_00688,DEGACDFD_00597,MHALECEH_02496,OGHMHICF_01937,JLBILKMH_04581,MCHNEBJF_04586,HOLFJHIJ_02645,ALMEEEHM_04155,BFKKNDMN_04938,BOEGCKIF_02628,AONLONOO_03123,KAONMONA_02147,JBBCKIFO_02397,PCAPKKMB_00712,PJHHOHPP_02663,EGDJDACD_00246,DOCONFGL_00568,PNJFOIHC_00710
glnL,glnL,Sensory histidine kinase/phosphatase NtrB,PGEOLOLO_04934,MKEIHBDH_03267,AEDCGGIJ_05175,FPEEIIMM_00016,DEGACDFD_04984,MHALECEH_01863,OGHMHICF_01265,JLBILKMH_05229,MCHNEBJF_05234,HOLFJHIJ_02020,ALMEEEHM_04792,BFKKNDMN_00548,BOEGCKIF_02003,AONLONOO_03754,KAONMONA_01473,JBBCKIFO_03037,PCAPKKMB_00017,PJHHOHPP_01948,EGDJDACD_00918,DOCONFGL_01213,PNJFOIHC_00063
yahK,yahK,Aldehyde reductase YahK,PGEOLOLO_04777,MKEIHBDH_03413,AEDCGGIJ_05028,FPEEIIMM_04868,DEGACDFD_04840,MHALECEH_01716,OGHMHICF_01117,JLBILKMH_00087,MCHNEBJF_00087,HOLFJHIJ_01877,ALMEEEHM_04954,BFKKNDMN_00705,BOEGCKIF_01845,AONLONOO_03915,KAONMONA_01325,JBBCKIFO_03185,PCAPKKMB_04975,PJHHOHPP_01801,EGDJDACD_01068,DOCONFGL_01359,PNJFOIHC_05174
yhhT_2,yhhT_2,Putative transport protein YhhT,PGEOLOLO_04574,MKEIHBDH_03599,AEDCGGIJ_04843,FPEEIIMM_04662,DEGACDFD_04650,MHALECEH_01527,OGHMHICF_00941,JLBILKMH_00278,MCHNEBJF_00278,HOLFJHIJ_01686,ALMEEEHM_00025,BFKKNDMN_00907,BOEGCKIF_01641,AONLONOO_04120,KAONMONA_01138,JBBCKIFO_03377,PCAPKKMB_04782,PJHHOHPP_01617,EGDJDACD_01262,DOCONFGL_01550,PNJFOIHC_04940
truD,truD,tRNA pseudouridine synthase D,PGEOLOLO_03857,MKEIHBDH_04351,AEDCGGIJ_04147,FPEEIIMM_03957,DEGACDFD_03938,MHALECEH_00758,OGHMHICF_00188,JLBILKMH_01078,MCHNEBJF_01078,HOLFJHIJ_00962,ALMEEEHM_00748,BFKKNDMN_01628,BOEGCKIF_00914,AONLONOO_04831,KAONMONA_00378,JBBCKIFO_04147,PCAPKKMB_04023,PJHHOHPP_00922,EGDJDACD_02021,DOCONFGL_02347,PNJFOIHC_04142
group_656,,hypothetical protein,PGEOLOLO_03279,MKEIHBDH_04937,AEDCGGIJ_03483,FPEEIIMM_03445,DEGACDFD_03423,MHALECEH_00187,OGHMHICF_04699,JLBILKMH_01645,MCHNEBJF_01645,HOLFJHIJ_00410,ALMEEEHM_01319,BFKKNDMN_02210,BOEGCKIF_00326,AONLONOO_00408,KAONMONA_04906,JBBCKIFO_04659,PCAPKKMB_03485,PJHHOHPP_00257,EGDJDACD_02520,DOCONFGL_02972,PNJFOIHC_03549
group_655,,hypothetical protein,PGEOLOLO_00877,MKEIHBDH_02236,AEDCGGIJ_00965,FPEEIIMM_01030,DEGACDFD_00927,MHALECEH_02849,OGHMHICF_02282,JLBILKMH_04229,MCHNEBJF_04232,HOLFJHIJ_02996,ALMEEEHM_03824,BFKKNDMN_04610,BOEGCKIF_02956,AONLONOO_02794,KAONMONA_02507,JBBCKIFO_02043,PCAPKKMB_01066,PJHHOHPP_02997,EGDJDACD_04942,DOCONFGL_00219,PNJFOIHC_01061
eutR,eutR,HTH-type DNA-binding transcriptional activator EutR,PGEOLOLO_03462,MKEIHBDH_04672,AEDCGGIJ_03697,FPEEIIMM_03631,DEGACDFD_03607,MHALECEH_00382,OGHMHICF_04883,JLBILKMH_01461,MCHNEBJF_01461,HOLFJHIJ_00647,ALMEEEHM_01083,BFKKNDMN_02024,BOEGCKIF_00515,AONLONOO_00220,KAONMONA_00053,JBBCKIFO_04463,PCAPKKMB_03720,PJHHOHPP_00471,EGDJDACD_02334,DOCONFGL_02789,PNJFOIHC_03732
apbE_2,apbE_2,FAD:protein FMN transferase,PGEOLOLO_03318,MKEIHBDH_04898,AEDCGGIJ_03523,FPEEIIMM_03484,DEGACDFD_03463,MHALECEH_00237,OGHMHICF_04738,JLBILKMH_01606,MCHNEBJF_01606,HOLFJHIJ_00449,ALMEEEHM_01280,BFKKNDMN_02171,BOEGCKIF_00368,AONLONOO_00366,KAONMONA_04946,JBBCKIFO_04609,PCAPKKMB_03524,PJHHOHPP_00297,EGDJDACD_02480,DOCONFGL_02933,PNJFOIHC_03588
fbaB,fbaB,Fructose-bisphosphate aldolase class 1,PGEOLOLO_03232,MKEIHBDH_04984,AEDCGGIJ_03437,FPEEIIMM_03398,DEGACDFD_03376,MHALECEH_00139,OGHMHICF_04646,JLBILKMH_01695,MCHNEBJF_01695,HOLFJHIJ_00363,ALMEEEHM_01366,BFKKNDMN_02256,BOEGCKIF_00280,AONLONOO_00454,KAONMONA_04859,JBBCKIFO_04708,PCAPKKMB_03437,PJHHOHPP_00211,EGDJDACD_02567,DOCONFGL_03022,PNJFOIHC_03501
rsxD,rsxD,Ion-translocating oxidoreductase complex subunit D,PGEOLOLO_02558,MKEIHBDH_00473,AEDCGGIJ_02725,FPEEIIMM_02758,DEGACDFD_02657,MHALECEH_04346,OGHMHICF_04026,JLBILKMH_02306,MCHNEBJF_02306,HOLFJHIJ_04848,ALMEEEHM_02580,BFKKNDMN_02931,BOEGCKIF_04645,AONLONOO_01113,KAONMONA_04279,JBBCKIFO_00337,PCAPKKMB_02802,PJHHOHPP_04761,EGDJDACD_03217,DOCONFGL_03619,PNJFOIHC_02875
group_649,,hypothetical protein,PGEOLOLO_01945,MKEIHBDH_01077,AEDCGGIJ_02124,FPEEIIMM_02176,DEGACDFD_02043,MHALECEH_04000,OGHMHICF_03402,JLBILKMH_02975,MCHNEBJF_02978,HOLFJHIJ_04197,ALMEEEHM_02749,BFKKNDMN_03547,BOEGCKIF_04030,AONLONOO_01728,KAONMONA_03672,JBBCKIFO_00964,PCAPKKMB_02201,PJHHOHPP_04156,EGDJDACD_03848,DOCONFGL_04295,PNJFOIHC_02196
